price_tier,primary_price,content_count,active_content_count,total_sales,total_gross,total_net,avg_net_per_sale,net_per_day,latest_7_net,mtd_net,ytd_net,launch_7_net_observed,launch_7_content_count,launch_30_net_observed,launch_30_content_count,avg_days_live,top_content,coverage_note
$26.99,26.99,3,3,13,328.72,209.44,16.11,0.49,16.19,0.0,185.44,0.0,0,0.0,0,650.7,"Room Service Stuffing, Squirting on the First Date, Fatty Chugs Three Large Milkshakes",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$12.99,12.99,15,15,75,674.39,415.05,5.53,0.27,19.35,19.35,415.05,0.0,0,0.0,0,1747.7,"Crawling Back to Your Fat Mistress, Fat Party Girl Gets the Wrong Room, POV Morning Sex",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$22.99,22.99,2,2,12,275.8,165.48,13.79,0.19,13.79,0.0,165.48,0.0,0,0.0,0,922.5,"Magical Belly Growth and Riding POV, Worship My Fat SSBBW Body",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$11.99,11.99,9,9,20,231.68,142.81,7.14,0.07,0.0,0.0,121.63,0.0,0,0.0,0,2258.4,"Your Cum Makes Me Gain, Weight on Your Chest, POV Fucking and Sucking",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$10.99,10.99,10,10,26,215.13,129.84,4.99,0.06,2.99,0.0,129.84,0.0,0,0.0,0,2089.0,"Touring My Fat Jiggly Body, Solo Shower Sex, Not in Kansas",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$9.99,9.99,8,8,21,199.63,120.54,5.74,0.04,0.0,0.0,117.55,0.0,0,0.0,0,2289.5,"Smoking and Sensual Rubbing, Horny Pillow Grinding, Fatty in the Shower",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$6.99,6.99,1,1,5,34.92,20.95,4.19,0.01,4.19,0.0,20.95,0.0,0,0.0,0,2044.0,Red Satin Shorts Fat Booty Worship,Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$4.99,4.99,11,11,25,124.58,74.75,2.99,0.01,0.0,0.0,62.79,0.0,0,0.0,0,2779.5,"Big Horny Housewife, Squirting and Fishnets, Squeaky Chair Big Girl",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$7.99,7.99,3,3,6,47.89,28.74,4.79,0.01,0.0,0.0,23.95,0.0,0,0.0,0,2207.7,"Hot Pink Catwalk and Fat Bouncing, Flopping My Fat Around, 400lbs Bouncing on Your Cock",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$5.99,5.99,1,1,5,29.92,17.95,3.59,0.01,0.0,0.0,17.95,0.0,0,0.0,0,2170.0,Tight Dress Belly Bouncing,Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
$8.99,8.99,3,3,4,34.93,20.96,5.24,0.0,5.39,0.0,10.78,0.0,0,0.0,0,2156.0,"Jiggly Catwalk, Full Body Measurements, Cozy Winter Pussy Play",Observational price-tier rollup from mapped/priced content. Launch-window columns only include titles still young enough that lifetime-to-date equals the visible launch window.
