canonical_content_id,canonical_title,content_group,release_date,match_status,mapping_status,listed_platforms,priced_platforms,platform_list,total_sales,total_gross,total_net,avg_net,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net,first_offered_date,latest_date,source_rows,debug_note
Video 0111,Stuffing My Face With Pizza,Video,2020-10-24,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore","ManyVids, OnlyFans",25,902.74,719.2,28.77,0,0.0,0.0,0,0.0,0.0,1,14.98,8.99,24,887.76,710.21,0,0.0,0.0,2020-10-24,2026-04-21,2,catalog video row; platform revenue split from content_group_summary
Video 0290,Fucking Your Stuffed SSBBW Girlfriend POV,Video,2026-06-11,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids","Clips4Sale, ManyVids, OnlyFans",48,1007.36,709.37,14.78,4,83.93,50.36,0,0.0,0.0,19,398.68,239.21,25,524.75,419.8,0,0.0,0.0,2026-06-11,2026-07-12,21,catalog video row; platform revenue split from content_group_summary
Video 0287,The Diet of a Gaining SSBBW,Video,2026-04-27,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids, OnlyFans",24,671.75,513.39,21.39,0,0.0,0.0,8,223.92,166.32,2,55.97,33.58,14,391.86,313.49,0,0.0,0.0,2026-04-27,2026-05-27,10,catalog video row; platform revenue split from content_group_summary
Video 0267,SSBBW Burps and Farts While Stuffing,Video,2025-04-16,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids","C4S, ManyVids, Curvage","Curvage, ManyVids",13,639.42,454.48,34.96,0,0.0,0.0,9,499.49,370.52,4,139.93,83.96,0,0.0,0.0,0,0.0,0.0,2025-04-16,2026-07-11,13,catalog video row; platform revenue split from content_group_summary
Video 0273,SSBBW Squashes You Under Ass and Feet,Video,2025-08-09,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids",7,348.6,253.32,36.19,0,0.0,0.0,5,312.63,231.74,2,35.97,21.58,0,0.0,0.0,0,0.0,0.0,2025-08-09,2026-06-19,7,catalog video row; platform revenue split from content_group_summary
Video 0259,Boyfriend Gets Vored,Video,2024-12-23,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids",12,338.3,247.7,20.64,0,0.0,0.0,11,316.32,234.51,1,21.98,13.19,0,0.0,0.0,0,0.0,0.0,2024-12-23,2026-06-29,12,catalog video row; platform revenue split from content_group_summary
Video 0286,Stuffed and Horny,Video,2026-04-20,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,11,406.82,244.09,22.19,0,0.0,0.0,0,0.0,0.0,11,406.82,244.09,0,0.0,0.0,0,0.0,0.0,2026-04-20,2026-07-11,11,catalog video row; platform revenue split from content_group_summary
Video 0277,Dorothy Returns to Oz POV,Video,2025-11-14,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids","ManyVids, OnlyFans",14,335.81,230.27,16.45,0,0.0,0.0,0,0.0,0.0,8,191.87,115.12,6,143.94,115.15,0,0.0,0.0,2025-11-14,2026-05-08,9,catalog video row; platform revenue split from content_group_summary
Video 0241,Stuffing and Makeout POV,Video,2024-07-01,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",Curvage,9,252.7,187.39,20.82,0,0.0,0.0,9,252.7,187.39,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-07-01,2026-06-15,9,catalog video row; platform revenue split from content_group_summary
Video 0280,Ex GF Got Fat - Holiday Hookup,Video,2025-12-26,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids",14,297.78,183.36,13.1,1,21.98,13.19,2,33.98,25.08,11,241.82,145.09,0,0.0,0.0,0,0.0,0.0,2025-12-26,2026-07-06,14,catalog video row; platform revenue split from content_group_summary
Video 0264,After-Gym Stuffing,Video,2025-03-10,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids",8,204.02,148.35,18.54,0,0.0,0.0,7,184.04,136.36,1,19.98,11.99,0,0.0,0.0,0,0.0,0.0,2025-03-10,2026-06-23,8,catalog video row; platform revenue split from content_group_summary
Video 0266,Stuffing Until I'm Stuck,Video,2025-04-11,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",Curvage,6,198.48,147.2,24.53,0,0.0,0.0,6,198.48,147.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2025-04-11,2026-06-10,6,catalog video row; platform revenue split from content_group_summary
Video 0254,SSBBW Smokes After Thanksgiving Stuffing,Video,2024-11-29,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",Curvage,6,196.43,145.74,24.29,0,0.0,0.0,6,196.43,145.74,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-11-29,2026-07-06,6,catalog video row; platform revenue split from content_group_summary
Video 0258,Measurements and Weigh-In,Video,2024-12-18,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",Curvage,3,127.3,94.48,31.49,0,0.0,0.0,3,127.3,94.48,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-12-18,2026-06-12,3,catalog video row; platform revenue split from content_group_summary
Video 0243,Hotel Concierge Fucking POV,Video,2024-07-10,Auto obvious Members Library match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids","Clips4Sale, ManyVids",8,143.86,86.32,10.79,1,17.98,10.79,0,0.0,0.0,7,125.88,75.53,0,0.0,0.0,0,0.0,0.0,2024-07-10,2026-07-10,8,catalog video row; platform revenue split from content_group_summary
Video 0250,Soda Chug and Burping,Video,2024-10-30,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",Curvage,4,106.96,79.33,19.83,0,0.0,0.0,4,106.96,79.33,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-10-30,2026-07-06,4,catalog video row; platform revenue split from content_group_summary
Video 0270,Neighbor Gets Bred,Video,2025-06-10,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,6,125.9,75.54,12.59,0,0.0,0.0,0,0.0,0.0,6,125.9,75.54,0,0.0,0.0,0,0.0,0.0,2025-06-10,2026-05-23,6,catalog video row; platform revenue split from content_group_summary
Video 0276,Hungry Girlfriend Ignores You,Video,2025-10-18,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids",7,111.9,73.73,10.53,0,0.0,0.0,3,47.97,35.37,4,63.93,38.36,0,0.0,0.0,0,0.0,0.0,2025-10-18,2026-07-06,7,catalog video row; platform revenue split from content_group_summary
Video 0203,Friends With Benefits,Video,2023-11-18,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore","ManyVids, ModelCentro",7,112.9,71.09,10.16,0,0.0,0.0,0,0.0,0.0,4,67.93,40.76,0,0.0,0.0,3,44.97,30.33,2023-11-18,2026-07-02,7,catalog video row; platform revenue split from content_group_summary
Video 0249,SSBBW Ex Wants to Get Pregnant,Video,2024-10-27,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,8,111.87,67.12,8.39,0,0.0,0.0,0,0.0,0.0,8,111.87,67.12,0,0.0,0.0,0,0.0,0.0,2024-10-27,2026-07-11,8,catalog video row; platform revenue split from content_group_summary
Video 0261,Wife Wants to Stop Gaining the Reboot,Video,2025-02-20,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,5,109.92,65.95,13.19,0,0.0,0.0,0,0.0,0.0,5,109.92,65.95,0,0.0,0.0,0,0.0,0.0,2025-02-20,2026-07-09,5,catalog video row; platform revenue split from content_group_summary
Video 0247,Anniversary Fuck POV,Video,2024-07-25,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,5,99.92,59.95,11.99,0,0.0,0.0,0,0.0,0.0,5,99.92,59.95,0,0.0,0.0,0,0.0,0.0,2024-07-25,2026-04-21,5,catalog video row; platform revenue split from content_group_summary
Video 0216,Horny SSBBW Succubus Grows for Your Cum POV,Video,2024-03-10,Auto exact-title match,mapped,"Clips4Sale, Curvage, ManyVids","C4S, ManyVids, Curvage",Curvage,4,80.26,59.43,14.86,0,0.0,0.0,4,80.26,59.43,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-03-10,2026-06-20,4,catalog video row; platform revenue split from content_group_summary
Video 0256,Mutual Gaining Fantasy,Video,2024-12-05,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",Curvage,3,79.56,59.01,19.67,0,0.0,0.0,3,79.56,59.01,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-12-05,2026-06-05,3,catalog video row; platform revenue split from content_group_summary
Video 0234,Fucking My Creamy Fat Pussy,Video,2024-05-13,Auto obvious Members Library match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,8,95.87,57.52,7.19,0,0.0,0.0,0,0.0,0.0,8,95.87,57.52,0,0.0,0.0,0,0.0,0.0,2024-05-13,2026-06-27,8,catalog video row; platform revenue split from content_group_summary
Video 0245,Belly Worship to Keep Your Job,Video,2024-07-18,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids",5,79.93,52.35,10.47,1,15.98,9.59,2,31.98,23.58,2,31.97,19.18,0,0.0,0.0,0,0.0,0.0,2024-07-18,2026-05-29,5,catalog video row; platform revenue split from content_group_summary
Video 0153,Fat Party Girl Gets the Wrong Room,Video,2021-11-14,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore","ManyVids, ModelCentro",6,71.91,44.94,7.49,0,0.0,0.0,0,0.0,0.0,4,47.93,28.76,0,0.0,0.0,2,23.98,16.18,2021-11-14,2026-07-06,6,catalog video row; platform revenue split from content_group_summary
Video 0257,Cum for My Fat Part 2,Video,2024-12-11,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,4,67.93,40.76,10.19,0,0.0,0.0,0,0.0,0.0,4,67.93,40.76,0,0.0,0.0,0,0.0,0.0,2024-12-11,2026-06-16,4,catalog video row; platform revenue split from content_group_summary
Video 0278,Therapist Turns You Into a Feeder Part 3,Video,2025-11-19,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids",2,59.97,40.28,20.14,0,0.0,0.0,1,29.99,22.29,1,29.98,17.99,0,0.0,0.0,0,0.0,0.0,2025-11-19,2026-07-10,2,catalog video row; platform revenue split from content_group_summary
Video 0225,Squirting on the First Date,Video,2024-04-10,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,3,65.95,39.57,13.19,0,0.0,0.0,0,0.0,0.0,3,65.95,39.57,0,0.0,0.0,0,0.0,0.0,2024-04-10,2026-05-31,3,catalog video row; platform revenue split from content_group_summary
Video 0263,SSBBW Rips Leggings and Fucks Pussy,Video,2025-03-02,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,3,59.95,35.97,11.99,0,0.0,0.0,0,0.0,0.0,3,59.95,35.97,0,0.0,0.0,0,0.0,0.0,2025-03-02,2026-05-31,3,catalog video row; platform revenue split from content_group_summary
Video 0244,Impregnation Fantasy Chat,Video,2024-07-11,Manual confirmed match,mapped,"Clips4Sale, Curvage, ModelCentro","C4S, Curvage",Curvage,3,47.46,35.1,11.7,0,0.0,0.0,3,47.46,35.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-07-11,2026-07-02,3,catalog video row; platform revenue split from content_group_summary
exact-title:1-month-club-renewal,1 Month Club Renewal,Video,2026-02-28,,auto exact-title,,,ManyVids,4,39.95,31.96,7.99,0,0.0,0.0,0,0.0,0.0,4,39.95,31.96,0,0.0,0.0,0,0.0,0.0,2026-02-28,2026-05-14,4,revenue-only video row; platform revenue split from content_group_summary
Video 0163,Kneel and Eat My Fat Pussy,Video,2022-05-07,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore","ManyVids, ModelCentro",3,49.96,31.17,10.39,0,0.0,0.0,0,0.0,0.0,2,33.97,20.38,0,0.0,0.0,1,15.99,10.79,2022-05-07,2026-05-26,3,catalog video row; platform revenue split from content_group_summary
Video 0171,Milkshake and Soda Bloated Belly Belching,Video,2023-01-17,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage, MC Clipstore",Curvage,3,42.04,31.06,10.35,0,0.0,0.0,3,42.04,31.06,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2023-01-17,2026-07-02,3,catalog video row; platform revenue split from content_group_summary
Video 0162,POV Morning Sex,Video,2022-03-29,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore","ManyVids, ModelCentro",4,49.94,30.78,7.7,0,0.0,0.0,0,0.0,0.0,3,38.95,23.37,0,0.0,0.0,1,10.99,7.41,2022-03-29,2026-07-08,4,catalog video row; platform revenue split from content_group_summary
Video 0218,Seducing You Into Impregnation,Video,2024-03-15,Auto obvious Members Library match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,3,50.95,30.57,10.19,0,0.0,0.0,0,0.0,0.0,3,50.95,30.57,0,0.0,0.0,0,0.0,0.0,2024-03-15,2026-05-31,3,catalog video row; platform revenue split from content_group_summary
Video 0126,Creampie My Pussy,Video,2021-03-25,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore","ManyVids, ModelCentro",3,48.96,30.49,10.16,0,0.0,0.0,0,0.0,0.0,2,33.97,20.38,0,0.0,0.0,1,14.99,10.11,2021-03-25,2026-06-04,3,catalog video row; platform revenue split from content_group_summary
Video 0143,Stripper Lets You Fuck in VIP - POV solo,Video,2021-09-03,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore","ManyVids, ModelCentro",4,45.95,30.02,7.5,0,0.0,0.0,0,0.0,0.0,1,12.98,7.79,0,0.0,0.0,3,32.97,22.23,2021-09-03,2026-06-07,4,catalog video row; platform revenue split from content_group_summary
Video 0191,Tight Clothes Make Growing SSBBW Horny,Video,2023-07-31,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore",ModelCentro,3,41.97,28.32,9.44,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,41.97,28.32,2023-07-31,2026-07-06,3,catalog video row; platform revenue split from content_group_summary
Video 0224,Jiggling SSBBW Working Out in Lingerie,Video,2024-04-10,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids","C4S, ManyVids, Curvage",Curvage,2,37.45,27.68,13.84,0,0.0,0.0,2,37.45,27.68,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-04-10,2026-07-04,2,catalog video row; platform revenue split from content_group_summary
Video 0221,Magical Belly Growth and Riding POV,Video,2024-03-31,Auto obvious Members Library match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,2,45.97,27.58,13.79,0,0.0,0.0,0,0.0,0.0,2,45.97,27.58,0,0.0,0.0,0,0.0,0.0,2024-03-31,2026-05-31,2,catalog video row; platform revenue split from content_group_summary
Video 0268,Work Meeting Masturbation,Video,2025-04-23,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,2,43.97,26.38,13.19,0,0.0,0.0,0,0.0,0.0,2,43.97,26.38,0,0.0,0.0,0,0.0,0.0,2025-04-23,2026-03-19,2,catalog video row; platform revenue split from content_group_summary
Video 0274,Pantyhose Pussy Licking and Toe Sucking,Video,2025-08-16,Auto obvious Members Library match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,2,43.97,26.38,13.19,0,0.0,0.0,0,0.0,0.0,2,43.97,26.38,0,0.0,0.0,0,0.0,0.0,2025-08-16,2026-06-19,2,catalog video row; platform revenue split from content_group_summary
Video 0077,BBW Twerks and Fucks With Toy,Video,2020-04-01,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore",ModelCentro,3,38.97,26.28,8.76,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,38.97,26.28,2020-04-01,2026-07-06,3,catalog video row; platform revenue split from content_group_summary
Video 0125,Underwater Body Jiggle,Video,2021-03-14,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore","ManyVids, ModelCentro",3,40.96,25.54,8.51,0,0.0,0.0,0,0.0,0.0,2,27.97,16.78,0,0.0,0.0,1,12.99,8.76,2021-03-14,2026-06-16,3,catalog video row; platform revenue split from content_group_summary
Video 0228,Worship My Sweaty Ass,Video,2024-04-22,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,2,41.97,25.18,12.59,0,0.0,0.0,0,0.0,0.0,2,41.97,25.18,0,0.0,0.0,0,0.0,0.0,2024-04-22,2026-05-10,2,catalog video row; platform revenue split from content_group_summary
Video 0215,Heavy Hanging Belly,Video,2024-03-09,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,3,41.95,25.17,8.39,0,0.0,0.0,0,0.0,0.0,3,41.95,25.17,0,0.0,0.0,0,0.0,0.0,2024-03-09,2026-06-29,3,catalog video row; platform revenue split from content_group_summary
Video 0233,Your Fave Hookup Got Fat,Video,2024-05-10,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",Curvage,2,33.98,25.08,12.54,0,0.0,0.0,2,33.98,25.08,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2024-05-10,2026-07-06,2,catalog video row; platform revenue split from content_group_summary
Video 0211,Room Service Stuffing,Video,2024-01-17,Manual confirmed match,OF caption inferred,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",OnlyFans,1,30.0,24.0,24.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,30.0,24.0,0,0.0,0.0,2026-04-06,2026-04-06,1,catalog video row; platform revenue split from content_group_summary
Video 0238,SSBBW Oiled Up Jiggling and Bouncing,Video,2024-06-14,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",ManyVids,2,39.97,23.98,11.99,0,0.0,0.0,0,0.0,0.0,2,39.97,23.98,0,0.0,0.0,0,0.0,0.0,2024-06-14,2026-04-17,2,catalog video row; platform revenue split from content_group_summary
Video 0133,Squirting Dildo Riding and Facial Cumshot,Video,2021-05-24,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore",ManyVids,3,38.95,23.37,7.79,0,0.0,0.0,0,0.0,0.0,3,38.95,23.37,0,0.0,0.0,0,0.0,0.0,2021-05-24,2026-05-16,3,catalog video row; platform revenue split from content_group_summary
Video 0123,Getting Naughty at the Airbnb,Video,2021-02-19,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore",ManyVids,3,35.95,21.57,7.19,0,0.0,0.0,0,0.0,0.0,3,35.95,21.57,0,0.0,0.0,0,0.0,0.0,2021-02-19,2026-07-06,3,catalog video row; platform revenue split from content_group_summary
Video 0183,Hot Fatty Stuffs a Dozen Ice Cream Sandwiches,Video,2023-06-07,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids","C4S, ManyVids, Curvage",Curvage,3,28.72,21.04,7.01,0,0.0,0.0,3,28.72,21.04,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2023-06-07,2026-07-06,3,catalog video row; platform revenue split from content_group_summary
Video 0078,Fat Stripper Gives You a Lapdance,Video,2020-04-05,Auto exact-title match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore",ManyVids,3,32.95,19.77,6.59,0,0.0,0.0,0,0.0,0.0,3,32.95,19.77,0,0.0,0.0,0,0.0,0.0,2020-04-05,2026-06-14,3,catalog video row; platform revenue split from content_group_summary
Video 0201,Witch's Brew,Video,2023-10-18,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore",ManyVids,2,31.97,19.18,9.59,0,0.0,0.0,0,0.0,0.0,2,31.97,19.18,0,0.0,0.0,0,0.0,0.0,2023-10-18,2026-05-16,2,catalog video row; platform revenue split from content_group_summary
Video 0146,Feedee BBW Wants to Stop Gaining POV,Video,2021-09-23,Manual confirmed match,mapped,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids, MC Clipstore",ManyVids,2,31.97,19.18,9.59,0,0.0,0.0,0,0.0,0.0,2,31.97,19.18,0,0.0,0.0,0,0.0,0.0,2021-09-23,2026-07-06,2,catalog video row; platform revenue split from content_group_summary
exact-title:messy-piggy-stuffs-chocolate-cake,Messy piggy stuffs chocolate cake!,Video,2026-05-12,,auto exact-title,,,Curvage,2,25.98,19.08,9.54,0,0.0,0.0,2,25.98,19.08,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2026-05-12,2026-07-06,2,revenue-only video row; platform revenue split from content_group_summary
Video 0269,Therapist Turns You Into a Feeder Part 2,Video,2025-04-27,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",Curvage,1,24.99,18.54,18.54,0,0.0,0.0,1,24.99,18.54,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2025-04-27,2026-07-06,1,catalog video row; platform revenue split from content_group_summary
Video 0058,Begging for Your Cock,Video,2019-10-24,Manual confirmed match,mapped,"ManyVids, ModelCentro","ManyVids, MC Clipstore","ManyVids, OnlyFans",2,23.98,18.19,9.09,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,1,19.0,15.2,0,0.0,0.0,2019-10-24,2026-05-02,2,catalog video row; platform revenue split from content_group_summary
